This show became a Meme|diegofernandezv20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Better if Whitewalkers had won and last episode just silence.|objviewer20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
This is utterly disrespectful Forget all subplots, forget mystery around the White Walkers, forget The Faceless Men, Jon's heritage, forget that there once was logic and common sense in the series. The show lost everything George R.R. Martin created - a complex world of utter fantasy and everyday life with politics, war strategies and basic human needs combined in a beautiful and authentic saga which you wish would never come to an end. And the showrunners did everything in their power to ruin it. What a shame.|Celestialwit20|May 2019,,,,,,,,,,,,,,,,,,,,
Send the writers to the wall|arnonpan20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Rushed. Everything is rushed and disappointing, i have no problem with the ending... my problem is how we reached this ending. They massacred the show.|amal-saleh-kc20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Laughed out loud at the Bran conclusion. Unrealistic, forced garbage. All you can do is laugh.|curiousbush20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Varys once said," ""Incompetence should not be rewarded with blind loyalty"".|sgmlee2621|May 2019",,,,,,,,,,,,,,,,,,,,,,,,
Not good. I don't even have the energy to complain anymore. The ending sucked. That's it.|justinfernandez-3897620|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
Nonsense|georgeglayne20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,,
How do I rate 0/10? Because it was that bad. Such a disappointment. My expectations were below the ground already, yet this finale still managed to leave me dumbfounded.|nuno-5826520|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
Great Disappointment... We left behind a year in which the fans had been waiting a long time, ran from theories to theories, brainstormed and all expectations were destroyed in the 8th season. At some point, I can almost say that I was almost happy to say the series is over. Why does such a series end up so bad? Character development was ignored. Very big disappointment. It would be better if Drogon and Ghost made sex in the final.|ahmetkozan20|May 2019,,,,,,,,,,,,,,,,,,,,,,
I always told myself that no matter how much I hate an episode, it will never deserve an 1/10.|argyroudis_st20|May 2019,,,,,,,,,,,,,,,,,,,,,,,,
